Source,Target,weight
1606,1179,0.5
381,961,0.5
382,433,0.5
385,1172,1.5
385,21,0.5
385,860,0.5
388,966,3.5
390,46,0.5
393,892,0.5
393,1237,0.5
394,1652,1.0
395,325,0.5
396,791,1.5
397,716,0.5
397,236,0.5
397,35,0.5
399,1036,1.5
399,1287,0.5
1036,1287,0.5
399,1688,0.5
399,24,2.0
399,742,0.5
399,688,0.5
400,1498,0.5
403,1744,0.5
404,947,1.0
405,1259,0.5
408,557,4.5
408,850,1.5
408,211,1.0
850,211,0.5
408,1248,5.0
408,195,0.5
1248,195,0.5
408,1850,1.0
408,13,1.0
410,777,2.0
410,1653,3.0
777,1653,0.5
410,187,1.0
777,187,0.5
1653,187,1.0
410,1803,2.0
1653,1803,0.5
1803,777,0.5
411,157,3.0
411,856,0.5
412,870,0.5
412,41,0.5
414,84,1.0
414,1316,1.0
414,989,1.0
1316,989,0.5
989,43,2.0
414,242,0.5
414,85,0.5
416,685,8.0
416,35,2.5
685,35,1.5
416,1818,1.5
685,1818,1.5
416,71,0.5
418,1920,1.5
419,1264,0.5
419,1291,1.0
419,1530,0.5
1291,1530,0.5
419,269,0.5
420,435,1.0
420,1011,1.5
425,788,7.0
425,771,9.0
788,771,6.0
427,1044,1.0
427,17,0.5
427,55,0.5
430,1041,0.5
434,921,2.0
434,1612,2.0
435,1510,1.0
435,237,1.0
435,733,0.5
436,397,1.0
436,840,0.5
436,931,0.5
840,931,0.5
437,4,1.0
437,1797,1.0
439,695,0.5
439,1659,0.5
440,230,0.5
441,623,1.0
442,991,7.5
442,723,10.5
991,723,6.5
442,624,1.0
442,71,1.0
444,234,0.5
444,594,0.5
234,594,0.5
445,978,0.5
448,35,0.5
449,515,0.5
449,165,0.5
449,593,1.0
453,1600,0.5
455,1065,0.5
460,1952,0.5
460,891,1.0
1952,891,0.5
460,117,0.5
461,803,0.5
461,852,0.5
461,35,0.5
464,1407,0.5
464,1190,0.5
464,393,2.0
466,573,2.5
