Source,Target,weight
360,1085,2022
360,63,2021
360,1159,2019
362,832,2023
366,1405,2022
366,107,2021
369,216,2024
369,352,2022
369,827,2021
369,35,2021
370,1928,2022
370,403,2021
370,1058,2021
371,14,2022
372,1121,2023
372,728,2022
373,118,2019
375,87,2023
377,1818,2023
377,1606,2021
377,369,2021
377,265,2020
377,1179,2020
1179,35,2020
377,1511,2019
377,749,2018
369,749,2018
749,35,2019
1606,1179,2018
381,961,2023
382,433,2022
385,1172,2023
385,21,2021
385,860,2020
388,966,2023
390,46,2018
393,892,2019
393,1237,2019
394,1652,2018
395,325,2018
396,791,2021
397,716,2021
397,236,2018
397,35,2018
399,1036,2023
399,1287,2022
1036,1287,2022
399,1688,2022
399,24,2021
399,742,2020
399,688,2020
400,1498,2020
403,1744,2021
404,947,2021
405,1259,2023
408,557,2023
408,850,2023
408,211,2023
850,211,2023
408,1248,2022
408,195,2022
1248,195,2022
408,1850,2021
408,13,2021
410,777,2023
410,1653,2023
777,1653,2023
410,187,2023
777,187,2023
1653,187,2023
410,1803,2022
1653,1803,2021
1803,777,2021
411,157,2023
411,856,2018
412,870,2021
412,41,2019
414,84,2021
414,1316,2021
414,989,2021
1316,989,2021
989,43,2023
414,242,2020
414,85,2018
416,685,2023
416,35,2022
685,35,2022
416,1818,2022
685,1818,2022
416,71,2022
418,1920,2018
419,1264,2021
419,1291,2021
419,1530,2021
1291,1530,2021
419,269,2021
420,435,2022
420,1011,2019
425,788,2024
425,771,2024
788,771,2024
427,1044,2022
427,17,2018
427,55,2018
430,1041,2019
434,921,2023
434,1612,2022
435,1510,2021
435,237,2021
435,733,2018
436,397,2021
436,840,2020
436,931,2020
840,931,2020
437,4,2020
437,1797,2020
439,695,2022
439,1659,2019
440,230,2020
441,623,2021
442,991,2023
442,723,2023
991,723,2023
442,624,2021
442,71,2018
444,234,2020
444,594,2020
234,594,2020
445,978,2021
448,35,2018
449,515,2023
449,165,2022
449,593,2020
453,1600,2022
455,1065,2022
460,1952,2023
460,891,2023
1952,891,2023
460,117,2018
461,803,2022
461,852,2019
461,35,2018
464,1407,2022
464,1190,2019
464,393,2019
466,573,2022
467,635,2023
467,555,2021
635,555,2021
467,1264,2020
469,889,2023
469,844,2020
469,549,2019
470,512,2022
470,24,2022
512,24,2023
470,708,2020
470,706,2019
470,1113,2019
471,1488,2021
472,1945,2023
472,1636,2023
1945,1636,2023
472,479,2020
472,95,2020
473,104,2019
477,1176,2022
477,373,2019
478,377,2019
479,1050,2018
480,486,2023
480,1269,2023
480,1051,2023
480,1852,2023
480,645,2023
645,1269,2023
1051,1269,2022
480,1321,2023
1852,1269,2021
480,1382,2022
1321,1382,2023
480,482,2021
483,725,2022
483,1055,2019
1055,13,2019
484,1902,2022
1902,177,2022
484,501,2019
484,17,2018
484,601,2018
486,1204,2021
486,1852,2020
490,1143,2019
493,393,2022
493,564,2021
494,1476,2021
497,671,2022
497,1954,2018
1954,133,2018
498,1228,2023
499,1736,2018
504,577,2020
504,629,2020
577,629,2022
505,13,2023
505,66,2021
507,837,2018
508,1241,2023
508,1450,2021
509,3,2022
513,43,2022
513,84,2021
84,9,2021
515,1,2023
516,818,2023
516,1114,2023
516,503,2021
1114,503,2021
518,601,2020
601,284,2020
520,94,2020
521,724,2020
522,622,2020
524,201,2023
524,418,2020
525,230,2023
525,209,2023
525,693,2022
525,541,2019
530,1500,2021
531,747,2022
531,1812,2022
531,1747,2021
531,1647,2021
531,232,2020
532,1617,2023
533,650,2022
535,217,2023
535,159,2023
535,264,2018
536,28,2023
536,827,2023
536,87,2023
536,60,2023
536,225,2019
541,82,2023
82,87,2023
541,352,2023
541,47,2020
541,1797,2020
542,884,2022
544,1405,2018
544,1313,2018
1313,311,2018
546,1405,2021
549,2,2018
224,2,2018
549,176,2018
224,176,2018
2,176,2018
550,824,2022
551,691,2022
551,1461,2018
553,951,2022
553,954,2021
553,1235,2021
954,1235,2021
555,223,2023
556,993,2022
556,786,2022
560,20,2018
561,655,2023
561,1524,2023
655,1524,2023
561,867,2021
564,1488,2023
568,393,2022
568,1005,2019
568,747,2019
569,116,2023
570,42,2022
570,1085,2018
570,51,2018
1085,51,2018
573,303,2021
578,51,2020
578,1119,2020
578,180,2018
580,354,2023
580,1271,2021
580,599,2018
581,1920,2023
581,354,2023
585,795,2021
586,31,2020
589,98,2022
590,641,2023
590,876,2019
876,641,2019
595,1430,2019
597,1831,2020
598,80,2023
80,9,2023
601,225,2022
601,84,2022
601,2,2022
602,159,2023
602,414,2023
159,414,2023
602,829,2022
325,829,2022
602,71,2022
325,71,2022
602,536,2022
602,28,2022
602,1262,2021
