Id,Label,authid,TopRank,University,Country,pub_2023,pub_cit_2023,tot_citations,curYear_citations,prevYear_citations,tourism,tourism_marketing,tourism_management,tourism_economics,destination_marketing,Hotel_and_Tourism_management,tourist_behavior,tourism_impacts,sustainable_tourism
802,wing tung tung,802,1,Hong Kong Polytechnic University,,0,0,1450,63,69,1,0,0,0,0,0,0,0,0
803,Zaid Alrawadieh,803,1,Oxford Brookes University,,6,16,1449,379,346,1,0,0,0,0,0,1,0,0
804,John N. Fotis,804,1,Novus Mind Ltd,,0,0,1445,90,186,1,1,0,0,0,0,0,0,0
805,Kayode D. Aleshinloye,805,1,"University of Central Florida, Rosen College of Hospitality Management",,1,0,1443,273,300,1,0,0,0,0,0,0,0,1
806,Michael Fagence,806,1,University of Queensland,,0,0,1442,25,44,1,0,0,0,0,0,0,0,0
807,Mohd Safar Hasim,807,1,Universiti Kebangsaan Malaysia,,0,0,1441,71,126,1,0,0,0,0,0,0,0,0
808,Mohammad Dalvi Esfahani,808,1,Universiti Tunku Abdul Rahman (UTAR),,1,0,1440,252,308,1,0,1,0,0,0,0,0,0
809,Associate Professor Craig Lee,809,1,University of South Australia,,16,21,1440,337,364,1,0,0,0,0,0,0,0,0
810,Mark Neal,810,1,Asian Institute of Technology,,0,0,1439,79,101,1,0,0,0,0,0,0,0,0
811,"Pompei Cocean, Cocean P.",811,1,"Babeş-Bolyai University, Cluj-Napoca - Romanian Academy, Cluj Subsidiary Geography …",,0,0,1439,29,54,1,0,0,0,0,0,0,0,0
812,Ignatius Cahyanto,812,1,University of Louisiana at Lafayette,,3,70,1439,261,336,1,0,0,0,0,0,0,0,0
813,Hyoungeun Moon,813,1,Keimyung University,,8,29,1436,417,357,1,0,0,0,0,0,0,0,0
814,Yasuo Ohe,814,1,Tokyo University of Agriculture,,1,0,1428,170,265,1,0,0,1,0,0,0,0,0
815,Xianwei Liu,815,1,Harbin Institute of Technology,,6,7,1426,212,268,1,0,1,0,0,0,0,0,0
816,JOSE LUIS ALFARO NAVARRO,816,1,CATEDRÁTICO DE ECONOMÍA APLICADA,,1,0,1422,131,207,1,0,0,0,0,0,0,0,1
817,Mohammadreza Rezvani,817,1,"Professor in Human Geography, university f Tehran",,0,0,1420,115,198,1,0,0,0,0,0,0,0,0
818,Cina Van Zyl,818,1,"Professor in Tourism, University of South Africa",,3,0,1415,140,179,1,1,0,0,0,0,0,0,0
819,Muhammad Baiquni,819,1,"Faculty of Geography, Universitas Gadjah Mada",,9,4,1414,192,265,1,0,0,0,0,0,0,0,0
